,WIKA_A10[mV]
131,0.005738627800000001
132,0.0057212372
133,0.0055840148
134,0.0056336419999999995
135,0.0057873418
136,0.0068344038
137,0.006947880000000001
138,0.008314718
139,0.0105213398
140,0.011612968400000001
141,0.0116649906
142,0.012699322000000002
143,0.0119504138
144,0.0109419164
145,0.0109013574
146,0.0109555794
147,0.0112436498
148,0.013041726600000001
149,0.0144224882
150,0.0166511138
151,0.0187403362
152,0.0205624202
153,0.021678745800000003
154,0.022353898
155,0.022368325
156,0.0224252492
157,0.022431493599999998
158,0.0224215776
159,0.0241424312
160,0.026337804
161,0.030269809200000004
162,0.034725904200000005
163,0.039074712
164,0.041870401
165,0.0427221416
166,0.0442431732
167,0.0454424626
168,0.045429471
169,0.0454152494
170,0.049535500999999996
171,0.053098531000000004
172,0.0586184448
173,0.0665022492
174,0.07649564820000002
175,0.0816683516
176,0.0860303566
177,0.08840511300000001
178,0.0896009908
179,0.0885504336
180,0.0890995652
181,0.0914726632
182,0.0948238032
183,0.10268630540000001
184,0.11411331899999999
185,0.1282300294
186,0.14050085240000001
187,0.150691235
188,0.1564671128
189,0.1585799334
190,0.158532497
191,0.15734409359999998
192,0.1571120706
193,0.1568308858
194,0.15901145919999998
195,0.1635084092
196,0.1714288414
197,0.18451831040000002
198,0.20143365559999998
199,0.21606650659999999
200,0.2284632774
201,0.2374245078
202,0.2413127484
203,0.24144329739999998
204,0.2414470434
205,0.2413951694
206,0.2415382922
207,0.2427434892
208,0.2461074532
209,0.2529577138
210,0.2629169496
211,0.27737952180000003
212,0.2918176532
213,0.3051763236
214,0.31505108460000003
215,0.322404462
216,0.3257580638
217,0.3278713286
218,0.3290165068
219,0.3302209558
220,0.330844301
221,0.3307700038
222,0.3307451784
223,0.33160694820000003
224,0.335593295
225,0.3423133194
226,0.35365437860000004
227,0.3672689616
228,0.380806923
229,0.39229329220000003
230,0.401629734
231,0.4072321414
232,0.410531634
233,0.4122157036
234,0.4135211646
235,0.41414569019999997
236,0.41272797
237,0.4127692344000001
238,0.413484037
239,0.41571870460000004
240,0.42012758860000005
241,0.4281877936
242,0.4380868614000001
243,0.45127638000000003
244,0.46450377119999997
245,0.47686609640000005
246,0.486908859
247,0.4936297358
248,0.4970547378
249,0.4969822466
250,0.49587748640000007
251,0.4957332612
252,0.49561676979999997
253,0.4957034708
254,0.4969805838
255,0.498142469
256,0.49934704300000005
257,0.5016143858000001
258,0.5060360788
259,0.5128049432
260,0.5225564956000001
261,0.5332425952000001
262,0.5434571386
263,0.5512929202000001
264,0.5567974926
265,0.5590743424
266,0.5607061506
267,0.5607676506
268,0.561911118
269,0.5635511636
270,0.5647973894
271,0.5645798564
272,0.5656489372
273,0.5651946306
274,0.5635652066
275,0.5625480651999999
276,0.5628140092
277,0.5626662015999999
278,0.5630185007999999
279,0.5641227482
280,0.5652024984
281,0.5651485918
282,0.565174198
283,0.5647259950000001
284,0.5647389890000001
285,0.5647696496
286,0.5635594132
287,0.5636202217999999
288,0.5641523958
289,0.5641466856
290,0.562981832
291,0.5629148244
292,0.5628337622
293,0.562750292
294,0.5627770306000001
295,0.5640255810000001
296,0.5650178076000001
297,0.5651184678
298,0.5652326344
299,0.5653442739999999
300,0.565276742
301,0.5644596338
302,0.5643815755999999
303,0.563281429
304,0.5629976153999999
305,0.5618884444000001
306,0.5629930138000001
307,0.5632132768
308,0.5633210062
309,0.5635259747999999
310,0.5641953467999999
311,0.5630664588
312,0.5618945479999999
313,0.5617814898
314,0.5612782476
315,0.5616712926
316,0.5629490134
317,0.5640607594
318,0.5651709078
319,0.565712595
320,0.5654494644
321,0.5653777004
322,0.5646670221999999
323,0.5641612172
324,0.5641621826
325,0.5631942508
326,0.5631307362
327,0.5627543685999999
328,0.5622110842
329,0.5611478566000001
330,0.5625064371999999
331,0.5625352857999999
332,0.5629739284
333,0.5627879858
334,0.562811494
335,0.5628017666
336,0.5616798642
337,0.5615776780000001
338,0.5616200568
339,0.5615440488
340,0.5604015708000001
341,0.5608473062
342,0.5604537724
343,0.5605938314
344,0.5617384434
345,0.5616696595999999
346,0.5622972726000001
347,0.562906742
348,0.5629115104
349,0.5616359352
350,0.5617576836
351,0.560776329
352,0.5611793518000001
353,0.5623219968000001
354,0.5613357902
355,0.5624219776
356,0.5634855270000001
357,0.5622430444
358,0.5609792828
359,0.5632210254000001
360,0.5627257466
361,0.5615211606
362,0.5618492722
363,0.561743176
364,0.5606832265999999
365,0.5599081278
366,0.5599239349999999
367,0.5597901463999999
368,0.5598784924
369,0.559774673
370,0.5603733182
371,0.5604478478
372,0.5614941954000001
373,0.561572039
374,0.5626535414
375,0.5620651004
376,0.5630201934000001
377,0.5620160935999999
378,0.5620173572
379,0.5609295844
380,0.5609868168000001
381,0.5588069914
382,0.5596574066000001
383,0.5594522115999999
384,0.559563565
385,0.559696841
386,0.5614237068
387,0.5615530249999999
388,0.5618498562
389,0.562829256
390,0.5626219272
391,0.5609061718
392,0.5599291085999999
393,0.5598311901999999
394,0.5587330222
395,0.55877738
396,0.5600356698
397,0.5612295152
398,0.561140275
399,0.560022831
400,0.5601958038
401,0.5601474048
402,0.5593997836
403,0.5581682920000001
404,0.5593287826
405,0.559331417
406,0.5593821286
407,0.5590824604
408,0.5603914024
409,0.5604194284
410,0.5602473139999999
411,0.5611310124
412,0.56146878
413,0.5609004258
414,0.5607515334000001
415,0.5607260704
416,0.5598410488
417,0.5603241922
418,0.5609278442000001
419,0.5610276581999999
420,0.5623320582
421,0.5632351758
422,0.561741519
423,0.561890936
424,0.5608123898
425,0.5595454572
426,0.558456385
427,0.5589234114
428,0.5586316466
429,0.5597509742
430,0.5587598086
431,0.5589035036000001
432,0.5588745237999999
433,0.5588226916
434,0.5588019254000001
435,0.5603300096000001
436,0.5603140474
437,0.5599743366000001
438,0.5600920437999999
439,0.5588886736
440,0.5583315252
441,0.5582880138
442,0.5585910199999999
443,0.558501923
444,0.5585269928
445,0.5585767984000001
446,0.5584844828000001
447,0.5585768938
448,0.5586501598
449,0.5598510742
450,0.5598883034
451,0.559913516
452,0.5609544276
453,0.5610583424
454,0.5610555648
455,0.561100745
456,0.5611702918
457,0.5591294527999999
458,0.559566319
459,0.5595093132
460,0.5599968554
461,0.5600245237999999
462,0.5609678984
463,0.5604808808
464,0.560415411
465,0.5598843574
466,0.5597849726
467,0.5593232392
468,0.5593188404
469,0.5607622026
470,0.5606887458
471,0.5606025934
472,0.5599617362
473,0.5588972092000001
474,0.5576702238
475,0.5575991156000001
476,0.5577288272
477,0.5587227942
478,0.5598222851999999
479,0.5608071684
480,0.5605713245999999
481,0.5607384917999999
482,0.5609580396
483,0.5608637569999999
484,0.56065104
485,0.5604104162
486,0.5602462768
487,0.5602133391999999
488,0.5593035578000001
489,0.5594500898
490,0.5597345708000001
491,0.5596938727999999
492,0.5598211646
493,0.5595862984
494,0.5581456662000001
495,0.5582544446
496,0.5583788037999999
497,0.5582167744
498,0.559559691
499,0.5588583708
500,0.5579513312000001
501,0.5578184844
502,0.5577846886
503,0.5571048141999999
504,0.5581991554
505,0.5581186892
506,0.558203447
507,0.5581656816
508,0.5575712802
509,0.5575690868
510,0.5587881686
511,0.5586758138
512,0.5579939128
513,0.559130168
514,0.5590610504000001
515,0.5580337882
516,0.5568703532000001
517,0.5565112828000001
518,0.5565724968000001
519,0.5579248189999999
520,0.5578175664
521,0.5585188866
522,0.559530914
523,0.5594465258000001
524,0.5572553278
525,0.5583665134
526,0.5577946426
527,0.5579457642
528,0.5568702579999999
529,0.5566692832
530,0.5565046311999999
531,0.5577712656
532,0.5578507424
533,0.5577306390000001
534,0.5575218319999999
535,0.5576306582
536,0.5563427568
537,0.5552817226
538,0.5552032232
539,0.55649755
540,0.556439209
541,0.5576392649999999
542,0.5585814952000001
543,0.5587314485999999
544,0.5587632894000001
545,0.5578311203999999
546,0.557728982
547,0.5573302866
548,0.5577852728
