R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
-0.00000056	-0.00000277	-0.00000292	-0.00000331	-0.00000018
-0.00000356	-0.00000244	-0.00000195	-0.00000362	-0.00000189
-0.00000083	-0.00000072	-0.00000082	-0.00000093	-0.00000071
-0.00000078	-0.00000252	-0.00000183	-0.00000263	0.00000002
-0.00000180	-0.00000217	-0.00000253	-0.00000253	-0.00000180
-0.00000308	-0.00000242	-0.00000250	-0.00000327	-0.00000232
-0.00000167	-0.00000282	-0.00000088	-0.00000287	0.00000032
-0.00000132	-0.00000249	-0.00000134	-0.00000249	-0.00000016
-0.00000187	-0.00000255	-0.00000062	-0.00000269	0.00000020
-0.00000271	-0.00000221	-0.00000220	-0.00000281	-0.00000211
-0.00000052	-0.00000288	-0.00000306	-0.00000346	-0.00000012
-0.00000292	-0.00000264	-0.00000184	-0.00000298	-0.00000179
-0.00000353	-0.00000221	-0.00000291	-0.00000427	-0.00000217
-0.00000219	0.00000054	-0.00000255	-0.00000528	0.00000054
-0.00000250	-0.00000344	-0.00000168	-0.00000350	-0.00000068
-0.00000236	-0.00000254	-0.00000039	-0.00000290	0.00000015
0.00000085	-0.00000388	-0.00000113	-0.00000401	0.00000373
-0.00000138	-0.00000200	-0.00000104	-0.00000202	-0.00000040
-0.00000004	-0.00000202	-0.00000073	-0.00000205	0.00000129
-0.00000178	-0.00000193	-0.00000099	-0.00000206	-0.00000071
-0.00000084	-0.00000152	0.00000013	-0.00000161	0.00000090
0.00000040	-0.00000189	-0.00000057	-0.00000196	0.00000179
-0.00000135	-0.00000133	0.00000111	-0.00000185	0.00000160
-0.00000222	-0.00000116	0.00000112	-0.00000233	0.00000123
0.00000001	-0.00000295	-0.00000022	-0.00000296	0.00000275
-0.00000130	-0.00000347	-0.00000164	-0.00000348	0.00000054
-0.00000118	-0.00000294	-0.00000232	-0.00000307	-0.00000043
-0.00000081	-0.00000310	-0.00000157	-0.00000314	0.00000076
-0.00000111	-0.00000038	-0.00000285	-0.00000381	-0.00000016
-0.00000007	-0.00000217	0.00000067	-0.00000219	0.00000279
